AD0001,Password123#,Shah Kamal,Admin@gmail.com,312333454,Admin,
IS0001,Password123#,Ali Raza,Inventory_Supervisor@gmail.com,324797890,Inventory Supervisor,
TM0001,Password123#,Kamal Khokhar,Transport_Manager@gmail.com,3145634543,Transport Manager,
SR0001,Password123#,Ahmed,Sale_Rep1@gmail.com,324675356,Sale Representative,Muslim Town
SR0002,Password123#,Asad Ali,Sale_Rep01@gmail.com,314676487,Sale Representative,Muslim Town
SR0003,Password123#,Zarar,Sale_Rep3@gmail.com,345646786,Sale Representative,Awan Town
SR0004,Password123#,Naeem,Sale_Rep4@.com,342123456,Sale Representative,Anarkali
SR0005,Password123#,Hashir,Sale_Rep5@.com,323456567,Sale Representative,Johar Town
OD0001,Password123#,Ahmed,Order_Dispatcer@gmail.com,345678912,Order Dispatcher,
SR0006,Password123#,j,123@mail.com,9.23323E+21,Sale Representative,Johar Town
